idnumber,datetime,host,RID,proto,spt,dpt,ipaddress,cc,country,locale,latitude,longitude,Label,Sources,label
ci40330120,03-03-13 21:53,groucho-oregon,1032051418,TCP,6000.0,1433.0,61.131.218.218,CN,China,Jiangxi Sheng,28.55,115.9333,0,https://www.bmeia.gv.at/en/the-ministry/press/announcements/2020/02/cyber-attack-on-the-foreign-ministry-is-over/,0
ci40330112,03-03-13 21:57,groucho-oregon,1347834426,UDP,5270.0,5060.0,80.86.82.58,DE,Germany,,51.0,9.0,1,,1
nc73770880,03-03-13 21:58,groucho-oregon,2947856490,TCP,2489.0,1080.0,175.180.184.106,TW,Taiwan,Taipei,25.0392,121.525,1,https://www.zdnet.com/article/australia-on-the-cyber-offence-to-bring-down-covid-19-scammers/,1
hv73118202,03-03-13 21:58,groucho-us-east,841842716,UDP,43235.0,1900.0,50.45.128.28,US,United States,Oregon,45.5848,-122.9117,1,https://research.checkpoint.com/2020/hamas-android-malware-on-idf-soldiers-this-is-how-it-happened/,1
ci40330104,03-03-13 21:58,groucho-singapore,3587648279,TCP,56577.0,80.0,213.215.43.23,FR,France,,48.86,2.35,0,https://www.zdnet.com/article/fbi-says-an-iranian-hacking-group-is-attacking-f5-networking-devices/,0
ci40330096,03-03-13 21:58,groucho-tokyo,3323217250,TCP,32628.0,2323.0,198.20.69.98,US,United States,Illinois,41.8825,-87.6441,0,https://techcrunch.com/2020/03/29/saudi-spies-ss7-phone-tracking/,0
hv73118182,03-03-13 21:59,groucho-oregon,3730416887,TCP,6000.0,1433.0,222.89.164.247,CN,China,Henan Sheng,34.6836,113.5325,0,https://us-cert.cisa.gov/northkorea,0
us6000icxg,03-03-13 22:07,groucho-singapore,3738622573,TCP,6000.0,3306.0,222.214.218.109,CN,China,Sichuan Sheng,30.6667,104.0667,0,,0
us6000icxd,03-03-13 22:12,groucho-oregon,3683919430,TCP,6000.0,1433.0,219.148.38.70,CN,China,Hebei,39.8897,115.275,1,https://www.nytimes.com/2020/01/13/us/politics/russian-hackers-burisma-ukraine.html,1
nn00845643,03-03-13 22:14,groucho-singapore,1007884304,TCP,6000.0,1433.0,60.19.24.16,CN,China,Liaoning,41.7922,123.4328,0,,0
nc73770855,03-03-13 22:14,groucho-tokyo,3639889826,TCP,6000.0,1433.0,216.244.79.162,US,United States,Washington,47.4891,-122.2908,1,https://www.zdnet.com/article/two-more-cyber-attacks-hit-israels-water-system,1
